titre_comm,comm,dateAvis,dateSejour,loc,note,photo,id
prachtig hotel,"mooi hotel, had in de hal meer Avengers verwacht. Het is Disney dus het blijft wat rommelig en druk vooral bij inchecken. Niet echt veel veranderd met aantal jaren geleden. Skyline bar super maar sober ingericht.",tinyvdbos a écrit un avis (avr. 2022),Date du séjour : mars 2022,"None, None",bubble_40,no,"tinyvdbos a écrit un avis (avr. 2022)None, Nonebubble_40"
PERFECTION À TOUS NIVEAUX,"Excellente expérience… À l’arrivée à l’hôtel à 9 heures, la chambre était déjà disponible ! Et les bagages livrés en moins de temps qu’il faut pour le dire !  Une superbe chambre au 6e étage, à l’Empire State Club .. Une chambre spacieuse et hyper lumineuse grâce à sa baie vitrée immense, TV miroir design, machine expresso .. Literie de qualité, fauteuils et canapé confortables …  Salle de bains très propre, bien organisée  ..  Un room service rapide, impeccable, professionnel.. grande gentillesse du serveur (Sébastien) … service parfait, assiettes de charcuteries et fromages italiens excellentes ! Belle vaisselle et verrerie..  Vraiment une merveilleuse expérience.. la rénovation de l’hôtel est Mega réussie et on n’a qu’un seul regret : que le séjour se termine ! Vivement le…",ChristophePretre a écrit un avis (avr. 2022),Date du séjour : avril 2022,"Lille, France",bubble_50,yes,"ChristophePretre a écrit un avis (avr. 2022)Lille, Francebubble_50"
A perfect stay with wonderful staff,We stayed in an Empire State Club room for our mini moon with our 2 year old daughter. The dedicated reception team were excellent and I really appreciated all their help during our stay particularly Federico and Ruggerio. The staff in the club lounge were also lovely and we really liked the calmness and service it offered. Mohammed was absolutely brilliant. He took the time to talk to our little girl and just made an extra effort with us.   We had cocktails in Bleecker Street and had dinner in Downtown. Both were good. The rooms were very modern and I loved the various sockets and the ability to stream Disney+ from my phone to the TV. I wish all hotels had the same technology! We could also watch the fireworks from our room!  The location of the hotel is convenient. Just a few…,Kate H a écrit un avis (avr. 2022),Date du séjour : mars 2022,"None, None",bubble_50,yes,"Kate H a écrit un avis (avr. 2022)None, Nonebubble_50"
"zalig reisje, super service","wij kwamen maandag aan en direct in station vriendelijk geholpen, naar het park en genieten maar, savonds naar het hotel waar de koffers al aanwezig waren in de kamer. eten was lekker, personeel heel vriendelijk, en dit in alle plaatsen waar we kwamen, letterlijk niemand was minder vriendelijk dan een ander, dit is effectief een van de beleefste plaatsen kwa personeel dat we ooit kwamen. de schows zijn ook super. De thrillrides vonden we iets minder maar de magic van het gehele park maakt dit meer dan goed",TrailBlazer234502 a écrit un avis (avr. 2022),Date du séjour : mars 2022,"None, None",bubble_50,no,"TrailBlazer234502 a écrit un avis (avr. 2022)None, Nonebubble_50"
Staff are excellent,This hotel was amazing from start to finish.  We had a side check in area away from the regular reception as we booked the empire state floor.  Even though the area for drinks wasn't open when we checked in we were allowed in and ordered most welcome refreshments after a long trip.  The decor was amazing and everywhere was spotless.  The location is also the best.  Special shout out to Candida who looked after us everytime she seen us and to Charles in the skyline bar who's attention to detail was unreal as he went out of his way to ensure my cosmo was exactly how I wanted it. If it is your first time staying here you are in for a real treat.,Geraldine G a écrit un avis (avr. 2022),Date du séjour : mars 2022,Sligo,bubble_50,yes,Geraldine G a écrit un avis (avr. 2022)Sligobubble_50
Mooi hotel,"Het is een mooi opgeknapt hotel, de kamer was groot en netjes. Het zag er allemaal schoon uit. Het enige min puntje de behoorlijk lange wachttijden als je met de lift mee wilde. Het ontbijt was goed en lekker. ",Jeannette B a écrit un avis (avr. 2022),Date du séjour : mars 2022,"Ede, Gelderland, Netherlands",bubble_40,no,"Jeannette B a écrit un avis (avr. 2022)Ede, Gelderland, Netherlandsbubble_40"
Hôtel magique et personnel par,"Nous venons de réaliser un séjour de 3 nuits / 4 jours au sein de l'Hotel Disney's New York The Art Of Marvel en chambre Empire State Club vue lac Accueil à l'Empire State Club excellent, pro et chaleureux. Chambre avec vue lac magnifique et parfaitement équipée. Suite à un petit soucis en milieu de séjour avec la chambre. Les Casts Members de l'Empire State Club nous ont basculé dans une suite Super Héro encore plus magique. Merci pour leur réactivité et leur gentillesse. De même pour toutes les équipes du lounge privatif pour le petit déjeuner et goûter. Personnel absolument parfait et dévoué de gentillesse. Merci également pour la visite de l'hôtel d'1 heure très intéressante.  Concernant les parcs, rien à redire. Le spectacle de drones est incroyable. Le nouveau show sur…",Alexandre M a écrit un avis (mars 2022),Date du séjour : avril 2022,"Reims, France",bubble_50,no,"Alexandre M a écrit un avis (mars 2022)Reims, Francebubble_50"
"Incredible Hotel, Amazing Stay!!","This was our 2nd stay in this hotel and we were so glad we chose the Hotel New York – The Art of Marvel again. The trip was a surprise from my husband to celebrate my birthday!!   For this stay we were in the Empire State Club. From the moment we arrived the Cast Members were so helpful and friendly, keeping me occupied chatting while others helped my husband with luggage and while he parked the car. The lobby smells incredible – I think the scent they use is available to buy in the gift shop.   We used the ESC reception to check in. The Cast Members were absolutely wonderful. Nair checked us in, sorted out our tickets and my priority pass (I use a wheelchair for my mobility issues these days). Our room was all ready for us and Nair was very excited to take us up straight away.…",PrincessFreeman a écrit un avis (mars 2022),Date du séjour : mars 2022,"Kent, Royaume-Uni",bubble_50,yes,"PrincessFreeman a écrit un avis (mars 2022)Kent, Royaume-Unibubble_50"
Hôtel très sympa,Alors nous avons séjourné pour une nuit à l’hôtel New York The art of Marvel .. nous avons opté pour une chambre supérieure la chambre très spacieuses avec une vue sur jardin .. la chambre très grande avec deux grands lits une salle de bain douche italienne vous retrouverez dans la chambre une machine espresso À capsule ainsi qu’une bouilloire et du thé disponible vous avez également un coffre fort à frigo et deux bouteilles de Vittel à l’intérieur l’hôtel est superbe .. petit hic sur trois ascenseurs que deux fonctionner c’est dommage quand tout le monde rentre à la même heure il faut un peu faire la queue pour rejoindre sa chambre l’hôtel se trouve à huit minutes à pied de Disney et du Walt Disney studio ..,Stecy R a écrit un avis (mars 2022),Date du séjour : mars 2022,"Amneville, France",bubble_50,yes,"Stecy R a écrit un avis (mars 2022)Amneville, Francebubble_50"
time of our lives,I waited most my life to go to Disneyland and I was not disappointed. Brought my 8 and 10 yo children and they had the best holiday ever. Hotel was spotless and so cool!! Art was amazing in it and the location with regards to the parks couldn't have been better! Every single cast member we came across were so nice and helpful. The parks were spotless too! Only thing I would like to see there is food stalls that sell fruit! We also didn't have many dairy free options in the fast food restaurants but that didnt stop the four of us having the most amazing 5 days of our lives!,Tee Rock a écrit un avis (mars 2022),Date du séjour : mars 2022,"None, None",bubble_50,no,"Tee Rock a écrit un avis (mars 2022)None, Nonebubble_50"
"Verzorgd,leuk,bijzondere ervaring","Erg mooi,schoon en leuk hotel om te verblijven! Vanalles te zien,overal iets qua schilderijen erc. Personeel meedenkend en vriendelijk.  Kamers prima met veel stopcontacten/comfort.  Voor de prijs het buffet voor de avond wat sober en niet erg bijzonder.",Ashley V a écrit un avis (mars 2022),Date du séjour : mars 2022,"Vlissingen, Pays-Bas",bubble_40,yes,"Ashley V a écrit un avis (mars 2022)Vlissingen, Pays-Basbubble_40"
surprise birthday trip,"Amazing hotel, perfectly located for Disneyland.  Staff and service was excellent from the moment we pulled up in our car outside, through to check in, bag delivery and up to the room.  They are beautifully decorated and have all the amenities.  Great view out to the water.  Lovely helpful stay during our brief stay. Do book any restaurants up a month in advance, we sadly only tried to do this a week before and were unsuccessful but with all the food you eat in the parks, we were happy to forgo supper.  Staying at these hotels, give you the extra Magic hour in the park, walk is mins away so you can easily come in and out of the park frequently if you have younger children that may need a nap.  We went back in at night for the light show and a lovely short walk home after. Will…",Tracyw22 a écrit un avis (mars 2022),Date du séjour : mars 2022,"Caterham, Royaume-Uni",bubble_50,yes,"Tracyw22 a écrit un avis (mars 2022)Caterham, Royaume-Unibubble_50"
Excellent service,"Currently here and cannot fault the staff or service.  Had a sick child at at 3.30 am this morning I rang reception who assured me it wasn’t a problem, not to worry and by 3.40 there was a quiet tap on the door and a cast member Guillaume arrived armed with fresh bedding, he quickly and efficiently remade the bed and took everything away whilst saying if we needed anything else just to ring downstairs, he was wonderful in such a situation and excellent at bed making . Thank you Guillaume you were wonderful 😁",vanessa M a écrit un avis (mars 2022),Date du séjour : mars 2022,"Grimsby, Royaume-Uni",bubble_50,no,"vanessa M a écrit un avis (mars 2022)Grimsby, Royaume-Unibubble_50"
On y retournera !!!,"Nous avions réservé un séjour de 3 jours, et donc deux nuits au New York Hôtel Marvel dans une des suites Spiderman. Nous avons tous adorés et y retournerons dès que possible !!! L’hôtel est incroyable au niveau de la déco. La suite était spacieuse, super bien décorée aussi, avec une salle de bain et une salle d’eau. La piscine est top. Et nous avons mangé au Manhattan Restaurant qui était très bien. Tout le personnel de l’hôtel est aux petits soins pour répondre au mieux à nos attentes. Un grand merci.",Alexandra a écrit un avis (mars 2022),Date du séjour : février 2022,"None, None",bubble_50,no,"Alexandra a écrit un avis (mars 2022)None, Nonebubble_50"
Super hôtel!,"Un super hôtel, j'ai pris une chambre standard, accueil impeccable, chambre très propre et grande, machine à café, eau, gels douche disponibles dans la chambre, peignoir disponible en demandant à l'accueil.  Je reviendrai dans cet hôtel ^^",plume77160 D a écrit un avis (mars 2022),Date du séjour : janvier 2022,"Longjumeau, France",bubble_50,no,"plume77160 D a écrit un avis (mars 2022)Longjumeau, Francebubble_50"
Incroyable,"Nous y revenons d'un week-end de 2 jours, et bien nous sommes un peu déçu de ne pas être rester plus longtemps. L'hôtel est juste incroyable. Pour les fan de Marvel vous êtes au bon endroit, la déco, l'odeur, l'ambiance, tout y est. Les chambres sont top, bien décorés, les équipements sont géniaux, la télé est extra, j'aimerai la même à la maison! Une machine à café et une bouilloire sont à disposition dans les chambres. La piscine est sympa aussi, un peu profonde, je n'avais pieds nul part donc avec les enfants pas très pratique. L'hôtel est à 5 min de l'entrée des parcs. Bref un week-end au top du top. On a adoré et on pense déjà à revenir l'année prochaine.",clureclure a écrit un avis (mars 2022),Date du séjour : mars 2022,"Franconville, France",bubble_50,yes,"clureclure a écrit un avis (mars 2022)Franconville, Francebubble_50"
Séjour au top,"Second séjour en quelques mois à l'étage club de l'hôtel : chambre empire state club.  Que dire, tout était absolument parfait, un séjour de rêve.  Je remercie tout particulièrement Frédéric de la réception empire state club qui a su admirablement nous accueillir et  nous conseiller aussi bien en ce qui concerne l'hôtel et les parcs. Ses collègues sont bien sûr tout aussi compétents, mais n'ayant pas vu tout le monde, je ne peux pas les citer au risque d'en oublier  Nous avons beaucoup apprécié aussi les poses au lounge ou tout au long de la journée des boissons sont offertes ainsi qu'un goûter en fin d'après midi. Le personnel est là aussi au top et aux petits soins.  Les chambres sont très spacieuses et confortables, la déco de l'hôtel ravira les fans de Marvel et les moins…",kate5858 a écrit un avis (mars 2022),Date du séjour : février 2022,"Chateau Chinon, France",bubble_50,no,"kate5858 a écrit un avis (mars 2022)Chateau Chinon, Francebubble_50"
Aux pays de Marvel,"Nous venons de passer 3 jours dans ce magnifique hôtel. Le personnel est au top. La décoration  vaut le coup d'œil avec tous ces tableaux grandeurs nature, la chambre est sublime (pour info 2 lits en 140). La piscine est grande, chauffée et jacuzzi. Le parfum d'ambiance sent trop bon. Le repas sous forme de buffet plus que correct, craquage sur les desserts excellents. A 10mn à pieds des parcs. A faire les photos au station héros  Marvel. Petit bémol, aucun personnage le matin dans le hall c'est dommage...",lolo241975 a écrit un avis (mars 2022),Date du séjour : mars 2022,"Ville de Bergerac, France",bubble_40,no,"lolo241975 a écrit un avis (mars 2022)Ville de Bergerac, Francebubble_40"
3 dagen Disney,"Een prachtig hotel ingericht met prachtige Marvel kunstwerken. Het personeel was super vriendelijk en gaven je meten een goed gevoel. In het hotel kon je genieten van een lekker parfum dat verneveld werd. Propere moderne kamers met voldoende licht, stopcontacten en usb aansluitingen. Wij zaten op het 6de verdiep. Mooi uitzicht op lake disney. ",Danny-Ost a écrit un avis (mars 2022),Date du séjour : mars 2022,"Buggenhout, Belgique",bubble_50,yes,"Danny-Ost a écrit un avis (mars 2022)Buggenhout, Belgiquebubble_50"
Wow!!,"Stayed here before when it was the hotel new york, so knew that the location was brilliant. The hotel is stunning, we had the empire state room, which was a treat to ourselves, but it did make our stay even more luxurious. The rooms are very spacious, and modern, clean and inviting. The TVs in the rooms were the mirrored walls, never seen anything like it before! The whole hotel has every detail geared towards marvel, had the privilege of staying here and getting the limited edition print for the first x number of stays there, make sure you ask for it, they seemed to wait for you to ask for it rather than offering it. The empire state lounge for breakfast and meals meant there was no queuing for breakfast at all, was super relaxed and enjoyable, the food was of a very good…",looking4wardtomyhols a écrit un avis (mars 2022),Date du séjour : décembre 2021,"Swansea, Royaume-Uni",bubble_50,no,"looking4wardtomyhols a écrit un avis (mars 2022)Swansea, Royaume-Unibubble_50"
Très bon hôtel mais services pas au rdv,"Venu en famille, nous avions 4 chambres de réserver donc un budget important. L hôtel est vraiment très beau, chambre magnifique et confortable. Le problème est que je me suis levée de bonne heure le lendemain matin pour profiter de la piscine, j ai dut faire demi tour car celle-ci était fermée car ils avaient des  problèmes avec l'eau. On m a gentiment dit de revenir dans 2 à 3h voir fin de matinée. Ce qui est impossible car il faut rendre la chambre, et puis en l occurrence un parc à visiter.  Pour avoir un renseignement à l accueil, ce n est pas possible non plus car foule gigantesque en attente. Au petit déjeuner, nous n avons pas pu rejoindre le reste de la famille à tabler, à quelques minutes  Près on nous a demandé si nous avions un ticket horaire pour déjeuner. Ce ticket…",mand a écrit un avis (mars 2022),Date du séjour : septembre 2021,"Bretagne, France",bubble_30,no,"mand a écrit un avis (mars 2022)Bretagne, Francebubble_30"
Truly wonderful experience,"The hotel was fantastic attention to detail superb the rooms were exquisite beds super comfortable and the bath was a welcoming sight after a long day in the parks, my grandkids totally loved the play area and the one to one with Spider-Man was a bonus. We loved the spa facilities and would definitely recommend this hotel to everyone",Shirley a écrit un avis (mars 2022),Date du séjour : mars 2022,"Highlands, Royaume-Uni",bubble_50,no,"Shirley a écrit un avis (mars 2022)Highlands, Royaume-Unibubble_50"
Hotel très bien mais ...,"Au sujet de l'hôtel rien à dire de négatif, il est très beau, les détails sont soignés et beaucoup d'activités à faire même à l'intérieur de l'hôtel. La piscine est un peu froide et profonde; pas pratique si on a des enfants, mais en soit c'est un bel endroit également. Nous avions une chambre vue sur le lac, elle est magnifique et la vue est incroyable. Le personnel de l'hôtel est charmant, très gentil et aux petits soins.  Par contre, la sécurité du parking ... j'ai failli faire demi-tour. L'amabilité ? Ne connais pas. La politesse ? Non plus. En guise de bonjour en arrivant ""votre pass !"". Nous n'avions pas de place pour nous garer et après avoir tourné une quinzaine de minutes, nous avons demandé poliment s'ils avaient une solution, en réponse ""vous voulez que j'agrandisse…",Alexia Thornton-Darcy a écrit un avis (mars 2022),Date du séjour : octobre 2021,"Lille, France",bubble_40,no,"Alexia Thornton-Darcy a écrit un avis (mars 2022)Lille, Francebubble_40"
The art of Hotelmanagement,"We genoten samen met ons klein-zoontje van 9 jaar van een top service, zeker voor zo een groot hotel, in een pretpark, waar elke week tienduizenden mensen de revue passeren, super vriendelijk en behulpzaam personeel! De maaltijden zijn in beide restaurants voortreffelijk, maar met kinderen prijs ik toch het Manhattan restaurant aan wegens het zelfbedieningsconcept. ",Frank A a écrit un avis (mars 2022),Date du séjour : mars 2022,"Brasschaat, Belgique",bubble_50,no,"Frank A a écrit un avis (mars 2022)Brasschaat, Belgiquebubble_50"
Just truly magical in every way,"We got a great deal as we booked this about 9 months ago when pandemic was raging. We were not disappointed. The hotel is grand, spotlessly clean and has some of the most picturesque art around the hotel. There were quite a few famous people rocking up for the 30 year celebrations which emphasized the grandeur of the place. After long days walking, it was actually great feeling to get back to the hotel and relax in the pool or the amazing bars, particular Skyline with the amazing animation screens behind the bar staff. Of course, everything is expensive but its Disney! You get what you pay for and that is first class surroundings, location and attentive staff aswell as amazing drinks and food.",Carl M a écrit un avis (mars 2022),Date du séjour : mars 2022,"Lancaster, Royaume-Uni",bubble_50,no,"Carl M a écrit un avis (mars 2022)Lancaster, Royaume-Unibubble_50"
Fantastic stay making our Disney trip perfect,"My two children (and us adults) loved this hotel. After a long day at the parks to go back to this hotel felt like a treat. Spotlessly clean, staff very helpful and friendly. We had a slight problem with our key card one day and it was resolved as quickly as possible, even an apology letter and gift for the children in the room to come back to. Thank you Sandrine and Tania for making our stay that bit more special.",Chantelle A a écrit un avis (mars 2022),Date du séjour : février 2022,"None, None",bubble_50,no,"Chantelle A a écrit un avis (mars 2022)None, Nonebubble_50"
Un séjour magique,"Rien a dire sur l hôtel. Équipe au top, chambre parfaite. Et les repas aussi bien le matin que le soir était super. Un effet wahou quand on arrive aussi bien pour les enfants que les parents. On a vécu un séjour de rêve à Disney. Merci beaucoup",Vanou L a écrit un avis (mars 2022),Date du séjour : mars 2022,"None, None",bubble_50,no,"Vanou L a écrit un avis (mars 2022)None, Nonebubble_50"
Parfait,"Tout était parfait aussi bien le standing de l'hôtel que l'importance que le personnel donne à ses clients ...   Aucune déception , ne changez rien !   Et la cerise sur le gâteau nous sommes à 5 min à pieds du parc , pas besoin de navette !  20 ans qu'on fait disney avec des hôtels différents et vous êtes notre top 1",evasion2000 a écrit un avis (mars 2022),Date du séjour : mars 2022,"Courcelles-sur-Vesles, France",bubble_50,no,"evasion2000 a écrit un avis (mars 2022)Courcelles-sur-Vesles, Francebubble_50"
Séjour hôtel New York art of Marvel,"Bonjour, vous souhaitez être dans l'univers Marvel, ainsi que l'esprit de New-York, alors cette hôtel est fait pour vous et vos enfants.nous avons passé en Demi pension Un séjour inoubliable, incroyable.l hôtel et tous simplement une attraction a lui seul.magifique, stylé, extrêmement agréable.la chambres étaient magnifiques très très grand confort.le restaurant Downtown est a recommandé , très large choix de plats, Ils y en a pour tous les goûts ET la déco est top.nous nous sommes délasser dans la magnifique piscine ainsi que le jacuzzi . après une bonne journée dans le parc c'est idéal.enfin le bar le Skyline est extraordinaire quel déco, l'ambiance art déco merci a Estelle qui nous as très bien conseiller et accueilli.,  Et la baie vitrée vue sur....je ne vous en dit pas plus…",Sebastien L a écrit un avis (mars 2022),Date du séjour : février 2022,"Publier, France",bubble_50,no,"Sebastien L a écrit un avis (mars 2022)Publier, Francebubble_50"
pésima atención,"Muy mala experiencia. Estoy alojado actualmente en el hotel y la organización es muy muy pésima. El personal, en general, no está por ti ni te ayuda ni te informa adecuadamente.  No nos dejaban entrar al restaurante porque no llevábamos una pulsera que nadie nos dio al hacer el checking ni nos dijo que teniamos que llevarla. Por otro lado, las habitaciones son básicas, esperábamos algo mejor. La pica del lavabo no funciona correctamente. La calefacción tampoco funciona. En fin, no volveremos nunca.",abrilypol a écrit un avis (févr. 2022),Date du séjour : mars 2022,"Sitges, Espagne",bubble_10,no,"abrilypol a écrit un avis (févr. 2022)Sitges, Espagnebubble_10"
Le meilleurs hôtel Disneyland Paris,"Exceptionnel ! On se sent privilégié avant même son arrivée ! Le prix est élevé, mais ça vaut vraiment le coup. Le personnel est au petit soin, les chambres très confortable, la piscine géniale, le cadre est trop beau, bref pour les fans de Marvel c'est a faire au moins une fois, pas déçue et mes enfants pour lesquels c'était une vrai surprise sont répartis des étoiles pleins les yeux! On m'a même apporter mon pass photo dans le parc car on avait oublier de me le donner, bref un oubli sans conséquence grâce au service exceptionnel des Guest. C'était PARFAIT !",Audrey a écrit un avis (févr. 2022),Date du séjour : février 2022,"Charvieu-Chavagneux, France",bubble_50,yes,"Audrey a écrit un avis (févr. 2022)Charvieu-Chavagneux, Francebubble_50"
Hôtel très accueillant !!,"  Hôtel très accueillant. Le personnel de l'hôtel est très à l'écoute, professionnel et très agréable. Le lit ( matelas oreillers parfait) . La salle de bain rien à dire tout était parfait. Baignoire/douche,lavabo double,WC. Hôtel très calme malgré le monde présent. Le bar est magnifique. Boutique Marvel un peu petite mais on y trouve pour tous les goûts. Enregistrement avant 10h et accès à la chambre pour 15h . Libérer la chambre avant 11h le lendemain . Le restaurant Manhattan est magnifique et la qualité du repas était au rendez-vous. Superbe séjour.",Anna V a écrit un avis (févr. 2022),Date du séjour : février 2022,"Besançon, France",bubble_50,no,"Anna V a écrit un avis (févr. 2022)Besançon, Francebubble_50"
Super Hôtel !,"Nous avons passés un excellent séjour à l'hôtel Marvel. Les chambres sont spacieuses et le personnel agréable. Nous avons adorés le restaurant Manhatan qui est dans l'hôtel et qui vaut le détour. La déco est soignée. L'hotel est idealement situé au Disney village. Merci pour tout, nous reviendrons sans hésiter.",Jessica a écrit un avis (févr. 2022),Date du séjour : février 2022,"Rennes, France",bubble_50,no,"Jessica a écrit un avis (févr. 2022)Rennes, Francebubble_50"
Dîner romantique au Manhattan😘😍,"Excellent! Hôtel bien situé. Propreté irréprochable. Un personnel à l'écoute, très serviable, réactif. Un service de très haut vol. Une mention spéciale va au restaurant Manhattan ; nous avons passé une soirée fantastique, le personnel est super-sympa, à l'écoute du client. Excellents conseils sur le vin qui a accompagné notre dîner. Merci pour la carte LOVE.",jacques a écrit un avis (févr. 2022),Date du séjour : février 2022,"Seine-Saint-Denis, France",bubble_50,no,"jacques a écrit un avis (févr. 2022)Seine-Saint-Denis, Francebubble_50"
A wonderful experience ,"I have just returned home after a 3 night stay here. We went as a treat to celebrate my daughter's 18th birthday and got a super deal last year for a club room. The experience was 5 star from beginning to end. We were made to feel so special. Breakfast, afternoon tea and free soft drinks were included in the club level package and we made full use of this. The room was spotless, comfortable with a creative and cool marvel theme. All in all I couldn't recommend this hotel highly enough.",Clare c a écrit un avis (févr. 2022),Date du séjour : février 2022,"None, None",bubble_50,no,"Clare c a écrit un avis (févr. 2022)None, Nonebubble_50"
Top top top!,"Adoro questo hotel! Ero stata anni fa prima che venisse rinnovato con il tema Marvel. È migliorato tanto, a tutti i livelli. Mi è piaciuta la deco, la gentilezza del personale, gli ambienti accoglienti e calorosi,, le varie attività che si possono fare all'interno, e le stanze, che sono molto grandi(come prima). L'unica cosa è il costo che è piuttosto elevato. Abbiamo dormito molto bene, non si sentono rumori esterni, i letti sono grandi e comodi.. Mancavano forse delle cosine in camera tipo, la cuffia x la doccia, le pantofole, e cose del genere. Solitamente, in questa categoria di alberghi, ci sono più cose. Ho alloggiato in quasi tutti gli alberghi del parco e questo rimane uno dei miei preferiti. Lo consiglio a chi ama gli ambienti raffinati,e ovviamente x chi ha bambini…",Nadia M a écrit un avis (févr. 2022),Date du séjour : janvier 2022,"Grosseto, Italie",bubble_50,yes,"Nadia M a écrit un avis (févr. 2022)Grosseto, Italiebubble_50"
Catastrophe au restaurant Manhattan !!,"Accueil efficace avec contrôle pass vaccinal rapide, voiturer et réception express, bravo pour l organisation à 11h un mercredi matin . L intérieur de m hôtel est propre , soigné et ça sent bon ! Sans doute un diffuseur d odeurs très agréable. Magic Pass en poche, on fonce à Disneyland qui se trouve à 5 minutes à pieds c est top ! De retour à 16h on récupère notre chambre . Jolie pratique ! Gros bémol concernant la taille des lits double , vraiment trop juste pour deux adultes . Décoration sympa et salle de bains de bonne taille . Conciergerie efficace qui nous a trouvé une table au Manhattan restaurant. Voilà la seule grosse grosse déception de cet hôtel … le Manhattan ! Surtout n y aller pas !  Nous avons mangé à la carte jamais vu des prix aussi exorbitants , c est vraiment…",Candide03 a écrit un avis (févr. 2022),Date du séjour : février 2022,Suisse,bubble_30,no,Candide03 a écrit un avis (févr. 2022)Suissebubble_30
L’expérience à vivre une fois à Disney,"Hôtel majestueux et moderne. Les super-héros Marvel sont partout. L’accueil à l’Empire State Club est top. Le personnel est souriant, serviable et dans un souci constant de faire vivre un moment magique aux guests.  Le déjeuner et le goûter du Lounge ESC est de qualité et diversifié (en fonction des saisons le buffet varie selon l’origine majoritaire des clients). Les chambres (et les suites) sont préparées tous les jours (refaire le lit, nouvelles serviettes, café, …). Tous les Castmember sont ouverts, gentils et prêts à nous aider, nous conseiller et nous faire plaisir.",Taillou a écrit un avis (févr. 2022),Date du séjour : février 2022,"None, None",bubble_50,yes,"Taillou a écrit un avis (févr. 2022)None, Nonebubble_50"
Très belle expérience,"Une très belle expérience dans l'univers de Marvel qui interpelle autant les grands que les plus jeunes. L'hôtel est propre, confortable avec énormément d'activités à l'intérieur : Spiderman, piscine, salle de sport, salle pour les jeunes, bars... La nourriture est bonne, le personnel extrêmement serviable et désireux de faire passer un excellent moment immersif pour nos enfants.   Le prix est bien sûr important. Mieux vaut assumer cela et se préparer mentalement pour ne pas être frustré à l'arrivée. Nous avions économisé en conséquence et je ne regrette pas l'expérience en elle-même.  Le danger : difficile aujourd'hui d'envisager DisneyLand autrement qu'avec un séjour dans cet hôtel.",sametpau a écrit un avis (févr. 2022),Date du séjour : août 2021,"None, None",bubble_50,no,"sametpau a écrit un avis (févr. 2022)None, Nonebubble_50"
Empire State Building Club,"Wir waren über Weihnachten in diesem Hotel und haben uns den Empire State Building Club gegönnt. Die Bewertung richtet sich deshalb ausschließlich auf das Cluberlebnis. Vorab: Das Geld kann man sich für diesen Bereich definitiv sparen.   1. Der Check in gestaltete sich bereits als schwierig. Die Tickets für unser Weihnachtsdinner waren nicht vorbereitet und wir mussten noch zwei weitere Personen aufsuchen, um diese erhalten und zahlen zu können (war an der Rezeption nicht möglich). 2. Uns wurde versprochen, Tischreservierungen vorzunehmen (was der Herr an der Rezeption nicht getan hat und von seinem Kollegen auf Nachfrage unsererseits am Abend erst übernommen wurde). 3. Trotz der Stühle vor den einzelnen Rezeptionstischen darf der Gast sich nicht setzen, alles wird im stehen…",Hanna a écrit un avis (févr. 2022),Date du séjour : février 2022,"Kaiserslautern, Allemagne",bubble_20,no,"Hanna a écrit un avis (févr. 2022)Kaiserslautern, Allemagnebubble_20"
SO MUCH FUN,"The decor and theme is outstanding fun.   I loved going outside every morning and enjoying the view.   I loved seeing Iron Man, Black Panther, Captain Marvel guarding the premises in heroic fashion as well as the hot air balloon with the parks in the horizon.   Everyone there was so nice and helpful.   They truly lived up to Disney standards.   The rooms and room floors were exciting.    We loved going to the restaurants and bars.    The Skyline was so cool and fun.   Memorable trip thanks to Disneys Hotel New York.",Mark R a écrit un avis (févr. 2022),Date du séjour : février 2022,"None, None",bubble_50,no,"Mark R a écrit un avis (févr. 2022)None, Nonebubble_50"
Heel mooi en luxe hotel,Geweldig hotel met een goede service. Kamers waren ontzettend mooi en luxe! Het ontbijt en a la carte diner was heerlijk! Het hele hotel was enorm mooi geworden! We komen hier zeker terug. De hele Marvel touch was echt geweldig! Het zwembad hebben we niet bezocht. ,Liza a écrit un avis (févr. 2022),Date du séjour : juin 2021,"None, None",bubble_50,no,"Liza a écrit un avis (févr. 2022)None, Nonebubble_50"
Excellent séjour à tous niveaux,"Nous avions une suite super héros en novembre 2021. Nous avons été enchantés , émerveillés dès l entrée dans cet immense hall d entrée. Tout est splendide,aux couleurs de Marvel. Direction l accueil privatif pour l enregistrement de notre séjour avec un personnel très professionnel,aimable,respectueux et qui n hésite pas à vous renseigner dès la moindre interrogation. Après l enregistrement ,nous sommes allés passer la journée au parc,revenus vers 15h pour découvrir cette somptueuse suite . Merci à toutes et tous pour toutes ces petites attentions qui nous ont profondément touchées surtout pour nos enfants. Le waouh... était là dès l'ouverture de la porte. Une immense chambre,un grand salon,une salle de bain magnifique avec baignoire spa et douche a l italienne,sans parler de la…",Elmut A a écrit un avis (févr. 2022),Date du séjour : novembre 2021,"Maubeuge, France",bubble_50,no,"Elmut A a écrit un avis (févr. 2022)Maubeuge, Francebubble_50"
