titre_commentaire,commentaire,Mois_Avis,Annee_Avis,Ville,Pays,Mois_Sejour,Annee_Sejour,Note,Photo,langue,latitude_city,longitude_city,Pays_recod,Contient_recod,lat_Pays,Lon_Pays,Ville_recod
L’expérience à vivre une fois à Disney,"Hôtel majestueux et moderne. Les super-héros Marvel sont partout. L’accueil à l’Empire State Club est top. Le personnel est souriant, serviable et dans un souci constant de faire vivre un moment magique aux guests.  Le déjeuner et le goûter du Lounge ESC est de qualité et diversifié (en fonction des saisons le buffet varie selon l’origine majoritaire des clients). Les chambres (et les suites) sont préparées tous les jours (refaire le lit, nouvelles serviettes, café, …). Tous les Castmember sont ouverts, gentils et prêts à nous aider, nous conseiller et nous faire plaisir.",février,2022,None, None,février,2022,5,yes,fr,44.933143,7.540121,None,None,None,None,None
Très belle expérience,"Une très belle expérience dans l'univers de Marvel qui interpelle autant les grands que les plus jeunes. L'hôtel est propre, confortable avec énormément d'activités à l'intérieur : Spiderman, piscine, salle de sport, salle pour les jeunes, bars... La nourriture est bonne, le personnel extrêmement serviable et désireux de faire passer un excellent moment immersif pour nos enfants.   Le prix est bien sûr important. Mieux vaut assumer cela et se préparer mentalement pour ne pas être frustré à l'arrivée. Nous avions économisé en conséquence et je ne regrette pas l'expérience en elle-même.  Le danger : difficile aujourd'hui d'envisager DisneyLand autrement qu'avec un séjour dans cet hôtel.",février,2022,None, None,août,2021,5,no,fr,44.933143,7.540121,None,None,None,None,None
Club de l'Empire State Building,"Nous avons séjourné dans cet hôtel à Noël et nous nous sommes offert l'Empire State Building Club. La note est donc basée exclusivement sur l'expérience du club. Tout d'abord : vous pouvez certainement économiser de l'argent pour ce domaine. 1. L'enregistrement était déjà difficile. Les billets pour notre dîner de Noël n'étaient pas préparés et nous avons dû rendre visite à deux autres personnes pour pouvoir les recevoir et les payer (ce n'était pas possible à la réception). 2. On nous avait promis de faire des réservations de table (ce que le monsieur de la réception n'a pas fait et son collègue ne l'a fait que le soir où nous avons demandé). 3. Malgré les chaises devant les comptoirs d'accueil individuels, le client n'est pas autorisé à s'asseoir, tout se fera debout...",février,2022,Kaiserslautern, Allemagne,février,2022,2,no,de,49.4432174,7.7689951,Allemagne,Europe,49.443320400000005,7.769068060911196,Kaiserslautern
TELLEMENT AMUSANT,"Le décor et le thème sont un plaisir exceptionnel. J'ai adoré sortir tous les matins et profiter de la vue. J'ai adoré voir Iron Man, Black Panther, Captain Marvel garder les lieux de façon héroïque ainsi que la montgolfière avec les parcs à l'horizon. Tout le monde était si gentil et serviable. Ils ont vraiment respecté les normes Disney. Les chambres et les étages des chambres étaient passionnants. Nous avons adoré aller dans les restaurants et les bars. La Skyline était tellement cool et amusante. Voyage mémorable grâce au Disneys Hotel New York.",février,2022,None, None,février,2022,5,no,en,44.933143,7.540121,None,None,None,None,None
Hôtel très agréable et luxueux,Super hôtel avec un bon service. Les chambres étaient incroyablement belles et luxueuses ! Le petit déjeuner et le dîner à la carte étaient délicieux ! Tout l'hôtel était devenu très beau ! Nous reviendrons certainement ici. Toute la touche Marvel était vraiment géniale ! Nous n'avons pas visité la piscine.,février,2022,None, None,juin,2021,5,no,nl,44.933143,7.540121,None,None,None,None,None
Excellent séjour à tous niveaux,"Nous avions une suite super héros en novembre 2021. Nous avons été enchantés , émerveillés dès l entrée dans cet immense hall d entrée. Tout est splendide,aux couleurs de Marvel. Direction l accueil privatif pour l enregistrement de notre séjour avec un personnel très professionnel,aimable,respectueux et qui n hésite pas à vous renseigner dès la moindre interrogation. Après l enregistrement ,nous sommes allés passer la journée au parc,revenus vers 15h pour découvrir cette somptueuse suite . Merci à toutes et tous pour toutes ces petites attentions qui nous ont profondément touchées surtout pour nos enfants. Le waouh... était là dès l'ouverture de la porte. Une immense chambre,un grand salon,une salle de bain magnifique avec baignoire spa et douche a l italienne,sans parler de la…",février,2022,Maubeuge, France,novembre,2021,5,no,fr,50.2796417,3.9674127,None,None,None,None,None
Services d'un 4 étoiles absents,"En soit l'hôtel est beau : l'expérience immersive est réussie. Le personnel est d'une gentillesse extrême. Avec une mention spéciale pour Candida de la salle de petit déjeuné de l'empire state club. Tous le personnel est particulièrement au petit soin, très dévoué...Les chambres sont belles, bien rénovées. Un bémol aux salles de bain qui n'ont rien de particulier et présentent déjà quelques malfaçons... Ma plus grande déception repose sur le service en chambre PAYANT !!! 10 € par personne ! Sachant que dans cet hôtel 4 étoiles j'étais en chambre empire state club !! En France, le room service est un minimum dans les 4 étoiles ! J'ai payé un séjour particulièrement cher pour obtenir de vrais services !!! ...C'est une véritable arnaque !",février,2022,Meze, France,décembre,2021,3,no,fr,49.0785352,-0.4714362,None,None,None,None,None
Séjour exceptionnel dans un lieu fantastique!,"Dès l'instant où nous sommes entrés dans le hall de l'hôtel, nous avons été époustouflés. Le thème de Manhattan est parfaitement exécuté partout, avec des œuvres d'art, des souvenirs et une boutique Marvel qui s'intègrent parfaitement. Le personnel était sympathique, accueillant et très serviable tout au long de notre séjour. Le stockage des bagages à notre arrivée était très efficace et il a été livré dans notre chambre au moment où nous sommes revenus du parc plus tard dans la journée. La chambre elle-même était spacieuse, avec de superbes installations (une prise de courant britannique était une bonne surprise), y compris une télévision massive (avec la possibilité de lancer un appareil dessus), une excellente machine à thé / café et un lit et des oreillers extrêmement confortables (2 différents types pour ceux qui préfèrent un oreiller plus doux ou plus ferme). Des petites attentions comme du savon avec le logo Avengers et un seul morceau de…",février,2022,Coleraine, Royaume-Uni,février,2022,5,yes,en,55.1315912,-6.671861,None,None,None,None,None
Weekend à Disney,"Suite à une réservation groupée (hôtel + entrée au parc) à partir de l hôtel, il est fort regrettable que l hôtel n indique pas qu il faille récupérer les billets d entrée à l hôtel.  Ça nous aurait éviter de faire 45 minutes de queue !  En revanche l hôtel, les  bars et restaurants sont à la hauteur de la prestation.   Nous recommandons.",février,2022,Sassenage, France,février,2022,4,no,fr,45.2066404,5.663687444649805,None,None,None,None,None
Juste WHAOU,MAGNIFIQUE ! L'hôtel est superbe ! La thématisation et l'immersion dans l'univers de Marvel est parfaite !  Les chambres sont vraiment confortables et la décoration est épurée et moderne . On a adoré y séjourner ! Les cast members sont vraiment adorable chaleureux et à l'écoute !  Gros plus pour la rencontre avec Spider Man ! Ma fille en est sortie des étoiles plein les yeux! Le bar et les restaurants ainsi que la boutique sont au top !  Hâte de revenir ! ,février,2022,Le Muy, France,janvier,2022,5,yes,fr,43.4713932,6.566111,None,None,None,None,None
Whaou,"Nous avons passé une nuit à l'hôtel Marvel et qu'elle expérience. Nous sommes ravis, l'accueil est excellent,la déco est fabuleuse, l'ambiance est magique. Je déconseille le restaurant Downtown,un peu trop bruyant même si les cast ont été d'une gentillesse hors pair Je recommande, j'espère pourvoir revenir mais le prix freine un peu la fidélité",février,2022,Caen, France,février,2022,5,yes,fr,49.1813403,-0.3635615,France,Europe,49.1813955,-0.363530052019429,Caen
Magique,"Une première fois dans un hôtel Disney. Nous habitons à 45 minutes du parc du coup habituellement nous rentrons chez nous.  Cette fois nous avons réservé 2 jours dans les parcs et 1 nuit à l'hôtel Marvel.  Une découverte incroyable, un séjour de rêve. Nous en avons pris plein les yeux !  Une chambre spacieuse, magnifique, très propre.  Les lits sont bien grand, nous sommes grands (1m80 pour moi et 1m82 pour mon mari).  L'accueil est chaleureux. Le petit déjeuner copieux, il y a du choix et c'est de qualité. Nous avons vraiment passé un séjour merveilleux. Merci pour ces étoiles dans nos yeux ",février,2022,Saint Brice Sous Foret, France,février,2022,5,yes,fr,48.9973824,2.3568948,None,None,None,None,None
Excellent,"Très bel hôtel, bien situé, bien décoré, avec une belle piscine, petit déjeuner excellent, des activités proposées aux enfants, la possibilité de prendre des photos avec Spiderman, les chambres sont très spacieuses, le personnel est très agréable et aux petits soins. Notre séjour en famille était parfait.",février,2022,None, None,février,2022,5,yes,fr,44.933143,7.540121,None,None,None,None,None
Très bon séjour,"Nous avons passé un très bon séjour dans cet hôtel, le personnel est très accueillant et disponible, la chambre est propre et la literie confortable , nous avons eu la chance d’avoir une jolie vue sur le château depuis notre chambre, le lit bébé a été mis à notre disposition. Il y a des prises pour recharger les voitures électriques ce qui est très agréable. Nous reviendrons avec plaisir.",février,2022,None, None,février,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Très organisé ..... en surface,"Le problème réside dans le rapport qualité prix. Avec des chiffres autour de 400 € la nuit, il n'y a pas de savon usé, un porte-serviette cassé, un mini-bar vide et 4 cafés comptés. On peut discuter du reste. Cependant lié au parc Disney & Studios donc dans un certain sens contraint cependant sur la tarification elle est hors norme. Parlez au concierge des problèmes ci-dessus, prenez des notes, ouì ouì Messier et puis ils s'en foutent. NCS Nous n'y sommes pas",février,2022,Ospitaletto, Italie,février,2022,3,no,it,45.5552224,10.073946,None,None,None,None,None
Magnifique,Séjour incroyable dans un cadre magnifique et tout en détail Marvel ! Le personnel est très accueillant et à disposition. Pleins de services disponibles pour passer un séjour de rêve. Chambre moderne et très confortable. Je recommande pour passer un agréable moment.,février,2022,None, None,février,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Séjour chez Marvel,Découverte pour nous dans cet hôtel qui nous plonge entièrement dans l’univers Marvel. Tout est fait et pensé avec goût. Les équipes sont super accueillante. La piscine est parfaite après une journée au parc. Chambre très agréable avec une superbe vue sur le lac. Les restaurants sont un peu cher malgré tout.,février,2022,Orange, France,février,2022,5,no,fr,33.7500378,-117.8704931,États-Unis d'Amérique,North America,33.75007535,-117.87042699747707,Santa Ana
31 degrés la nuit en hivers dans les chambres ,"Nous avons trouvés cet hôtel très Joly et la déco au top. Par contre GROS problème de chauffage clim dans nos 3 chambres!!!! 31 degrés la nuit dans les chambres c'est compliqué ! Ils connaissent le problème mais n'arrivent pas à le régler... Dommage pour un 4 étoiles, c'est inadmissible ! Première et dernière fois pour nous !! ",février,2022,Sanary-sur-Mer, France,février,2022,4,yes,fr,43.1177238,5.8008839,None,None,None,None,None
Séjour très agréable,"Nous étions déjà venus en juin pour l ouverture et nous étions déjà ravis. Très bel hôtel, belles prestations, personnel souriant et accueillant. Nous reviendrons très prochainement avec grand plaisir... Seul reproche qui n a rien a voir avec l hôtel, la difficulté à les joindre... Impossible de joindre quelqu'un avant le séjour.",février,2022,None, None,février,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Des étoiles plein les yeux ! ,"Nous avons séjourné sur l'hôtel ""The Art of Marvel"" et que dire ...   Nous sommes plongés ds l'ambiance Marvel du début à la fin pour notre plus grand plaisir ! L'hôtel est très propre, un petit parfum d'ambiance très agréable, le décor sublime, la piscine très appréciable après un journée sur les parcs, les cast members très sympathiques !  Concernant la chambre, la propreté est irréprochable (bravo aux agents d'entretien qui doivent avoir un travail colossal), l'équipement très suffisant (frigo, vittel, café, thé... gel douche, shampoing, linge de toilette...), la literie très confortable, la nuit très calme malgré l'immensité de l'hôtel !  Bravo !!   Un seul petit couac, nous avions réservé une chambre avec vue que nous n'avons pas eue (vue sur un arbre et le parc sportif…",février,2022,Rouen, France,février,2022,5,yes,fr,49.4404591,1.0939658,France,Europe,49.44028795,1.0948212446477523,Rouen
Un magnifique séjour,"Nous avons passé en famille deux nuits au sein de cet hôtel et nous en gardons un très bon souvenir. Il a été très joliment décoré, la chambre est magnifique, le parfum d'ambiance agréable, la literie très confortable. La chambre comporte tout ce qu'il faut pour passer un séjour agréable: machine à expresso, table à repasser, nombreuses prises, plusieurs oreillers, eau vittel, frigo ) Le petit déjeuner très bon également accompagné d'une jolie musique d'ambiance. Le personnel est souriant et attentionné. Nous reviendrons avec plaisir dans ce superbe hôtel",février,2022,Vireux-Wallerand, France,février,2022,5,no,fr,50.0845235,4.7278342,None,None,None,None,None
Sentiment mitigé,"Après un séjour de 3 jours dans cet hôtel, nous avons un sentiment un peu mitigé.   L’hôtel est très joli, moderne et respecte bien le thème Marvel. Mais le service en rapport qualité/prix n’est pas vraiment respecté. Nous avons eu plusieurs déception pendant les trois jours, que nous n’aurions pas attendu d’un hôtel de ce standing.   La chambre est moderne et élégante mais nous avions 2 lits double pour 3 adultes et clairement le lit double n’est pas approprié pour 2 adultes. Nous n’avions jamais eu ce problème dans les autres hôtels Disney, mais là nous avons vraiment été choquée de la petite taille du lit.   Concernant le petit-déjeuner et le buffet du soir, on pourrait s’attendre à beaucoup mieux vu le prix. Nous avons été très déçues car en effet il y a très peu de choix,…",février,2022,Lyon, France,janvier,2022,3,no,fr,45.7578137,4.8320114,France,Europe,45.7578371,4.8321925,Lyon
vacances en famille en février,"Bel hôtel avec beaucoup de petites attentions partout. Personnel extrêmement serviable et sympathique. L'enregistrement et le départ sont très rapides car beaucoup de personnel est disponible pour faire avancer les files d'attente. Arrivé à 11h et sur le parc à 11h30 ! Bagages dans la chambre après avoir reçu un SMS à 3 heures pour dire que les chambres étaient prêtes. Service très efficace. Le bar Skyline a une super ambiance et des super barmans/serveurs. Vue sur le lac, le village Disney et les lumières nocturnes de la baie de Newport absolument magnifique ! Nous avions une chambre attenante pour une famille de 5 personnes, ce qui nous a donné beaucoup d'espace avec 4 lits doubles et de nombreux sièges. L'hôtel Disneyland étant fermé pour rénovation, cela s'est avéré être une excellente alternative jusqu'à son retour !!",février,2022,Dublin, Irlande,février,2022,5,no,en,53.3498006,-6.2602964,Irlande,Europe,53.3498019,-6.260254172727272,Dublin
Meilleure expérience,"Pour les fans de Marvel, c'est un hôtel fantastique. Il y a tant à voir ! Nous avons partagé une chambre avec un couple d'amis. La chambre était un peu à l'étroit à cause de deux lits doubles. Mais évidemment, nous avons passé la plupart de notre temps dans le parc, donc ce n'était pas un problème. Pendant que nous étions là-bas, nous avons eu un créneau pour prendre le petit déjeuner. Quand nous sommes arrivés au restaurant (Manhattan), malgré l'utilisation des machines à sous, il y avait une énorme file d'attente; jusqu'au bout du couloir. Nous avons donc choisi de prendre le petit déjeuner dans le parc le premier jour. Le deuxième jour, nous avons dîné au centre-ville. Le petit déjeuner était très savoureux. Très bien que vous soyez si près du parc, c'était génial d'avoir un pull entre les deux. Nous avons également utilisé le service pour acheter au…",février,2022,None, None,novembre,2021,5,yes,nl,44.933143,7.540121,None,None,None,None,None
Hôtel Art of Marvel Disneyland Paris,"J'ai commencé très bien par le niveau et la qualité des chambres et les efforts déployés à l'intérieur et autour de l'hôtel, mais j'ai rapidement rencontré des problèmes d'abord, mon coffre-fort ne fonctionnait pas, donc tous les objets de valeur que j'ai dû emporter avec moi, je pouvais gérer que c'était bien mais alors le lendemain matin, ma machine à café a craché de l'eau à la recherche d'un canal avec des poils pubiens à la recherche de flotteurs !! Et puis, pour couronner le tout, ma télévision, qui était trop incroyable, a décidé de partir en mission silencieuse si elle était propre et non, elle n'était pas en sourdine, et le volume, même lorsqu'il était élevé, toujours rien. Sortant du sujet aussi de l'hôtel mais pertinent au parc un restaurant appelé Annette's ils ont essayé d'empocher ma monnaie un deux jours consécutifs ! Comme si je les avais comme un pourboire que je ferais si je sentais que cela le méritait,…",février,2022,Birmingham, Royaume-Uni,février,2022,3,no,en,52.4796992,-1.9026911,Royaume-Uni,Europe,52.47975375,-1.9023950174038458,Birmingham
Belle expérience,"Très bel hôtel rénové, on s’y sent bien, l’expérience avec Spiderman et les décors est sympa. Très belle chambre avec tv connectée chromecast pour regarder disney+ ou autre. Petit bémol sur les lits, on avait 2 lits en 140 donc bien pour les enfants mais trop petit pour 2 adultes, même au séquoia comme au Newport on avait des 160 ou 180, est ce normal? Le bar est top avec de supers cocktails, c’est bon c’est pro mais le prix va avec… On y retournera avec plaisir si on est sûr d’avoir un lit plus grand.",février,2022,Rouen, France,février,2022,4,no,fr,49.4404591,1.0939658,France,Europe,49.44028795,1.0948212446477523,Rouen
Hotel sublime mais froid....,"Tres bel hôtel, juste sublime même...mais tellement froid...on ne retrouve pas la chaleur des hôtels Disney qui caractérise tant le groupe. Cela fait très...Tony stark...en même temps c'est le but et cela est réussi. Fidèle des hôtels Disney avec une ambiance plus chaleureuse je n'ai pas accroché bien quelle personnel était juste au top et ultra gentil donc rien à dire de ce coté là. Cest juste le côté ""USINE"" avec ces grand espaces et ce métal avec lequel jai du mal a accrocher. Mes ados ont adoré par contre. Les chambres sont belles et spacieuse comme anciennement au New york mais dommage au niveau de la prestation chambre standard plus de petits gel douche ni de baume corporel dans la salle de bain. Cependant on m'en a fourni à la demande car jetais persuadé que comme au NPBC…",janvier,2022,Grenoble, France,janvier,2022,4,yes,fr,45.1875602,5.7357819,France,Europe,45.1873933,5.7353285,Grenoble
Disney le tue,"Excellent hôtel avec des membres du personnel exceptionnels! Bon fantastique partout est propre et sent bon Pas tout bon certains membres du personnel étaient très impolis et pas très serviables ! Les billets pour le parc ne fonctionnaient-ils pas au début, nous avons donc passé 2 heures à essayer de résoudre ce problème, mais nous nous sommes bien amusés. La taille du lit dans la chambre était un peu petite et ne pouvait pas mettre la climatisation au frais dans la chambre, il fallait donc avoir la fenêtre ouvert et constamment réveillé à 14 heures par ce qui ressemblait à des outils de travail au sol",janvier,2022,Colchester, Royaume-Uni,décembre,2021,5,yes,en,51.8896903,0.8994651,Royaume-Uni,Europe,51.889516900000004,0.8995469888248266,Colchester
Anniversaire de Rêve en famille à l’Hotel New York Marve!,"Anniversaire de Rêve à l’hôtel New York, Thé Art of Marvel! De retour à l’Empire State Club pour fêter les 10 ans de notre fils, nous avons passer un séjour de rêve! Grâce à toute l’équipe de l’Empire State Club avec une mention pour Frédéric, avec un accueil génial et des attentions particulières😉, c’est toute la famille qui a rêver! Séjour au top à Disneyland, les restaurants le Manathan et le Downtown supers!  Le bar le Skyline et son équipe juste magic! Un sans faute de A à Z!👍 Un grand Merci et à très vite!!!❤️",janvier,2022,Aix-en-Provence, France,janvier,2022,5,no,fr,43.5298424,5.4474738,France,Europe,43.5298325,5.4472410375478875,Aix-en-Provence
Moyenne avec une chambre rénovée et non rénovée,"Nous avons attendu l'enregistrement et il est arrivé à 18 heures et notre chambre n'était toujours pas prête. Nous vérifions à la réception et elle nous trouve une nouvelle chambre - oui, nous avons pensé jusqu'à ce que nous soyons à l'intérieur ! La chambre était sale, il y avait des taches brunes sur le cadre du lit et la couette. Époussetez les lapins sur le sol. J'étais tellement fatigué de voyager et de passer la journée dans le parc que j'ai laissé ça - quand nous sommes revenus le lendemain, la femme de ménage avait tout nettoyé, donc nous étions heureux. Les chambres de l'hôtel ont été rénovées mais la salle de bain était en très très mauvais état avec des fissures dans les murs et le lavabo. Il n'avait pas du tout l'air remanié. Le personnel était très sympathique et très serviable - en particulier à la boutique, à la réception et au buffet. L'hôtel avait une très bonne odeur. Vous pouvez acheter le spray à un prix très élevé. Nous avons visité le…",janvier,2022,Bracknell, Royaume-Uni,octobre,2021,3,no,en,51.4143513,-0.7449925,None,None,None,None,None
Des étoiles plein les yeux !,"Pour les fans de Marvel c'est juste le paradis !  Les chambres sont spacieuses, lumineuses et parfaitement dans le thème au point de vue décoration. Le personnel à l'accueil comme dans les restaurants et bar est extrêmement aimable et compétent, c'est un vrai plaisir de séjourner dans ces conditions. Un seul bémol c'est le restaurant, qui est très beau, mais ne propose pas des plats de grande qualité. Je pense que cela peut être amélioré. Nous reviendrons certainement à l'hôtel mais nous dinerons probablement ailleurs. Comme c'était un séjour de dernière minute nous n'avons pas eu le temps de prévoir une autre solution.",janvier,2022,Bordeaux, France,décembre,2021,5,no,fr,44.841225,-0.5800364,France,Europe,44.8412311,-0.5799616,Bordeaux
Weekend Disney,Très très bel hôtel pour les fans de Marvel. Chambre luxueuse très propre personnel très agréable. Malheureusement les restaurants proposés dans l'hôtel ne sont pas dignes de luxe de cet hôtel. Très dommageable qu'il n'y ait pas assez de spécialité américaine style gros hamburger. Le restaurant downtown s apparante plus à un fast-food buffet et n'est pas à la hauteur du tarif payé malgré un accueil chaleureux et un personnel très agréable. Nous avions l'impression d'être au buffet goûter du Disney Newport bay club. Par contre le bar skyline est magnifique. Je ne pense pas retourner au restaurant de l'hôtel mais à l'hôtel lui-même oui. Quel dommage qu'il n'y ait pas un restaurant semi-gastronomique à la hauteur de cet hôtel.,janvier,2022,None, None,janvier,2022,3,no,fr,44.933143,7.540121,None,None,None,None,None
bon hôtel,très très bien chambre avec  super deco propre et confortable bonne literie  il y à tous ceux qu il faut bon accueil  super petit déjeuner  vous trouverez un bar avec de très bon cocktails  très bonne adresse,janvier,2022,None, None,janvier,2022,5,no,fr,44.933143,7.540121,None,None,None,None,None
Mangane,Hôtel cinq étoiles .. personnel serviable et sympathique partout… accès facile aux parcs et aux nombreux divertissements de l'hôtel Deux excellents restaurants sur place Je recommanderais absolument cet hôtel J'ai trouvé l'option demi-pension le moyen le plus économique de visiter,janvier,2022,County Cavan, Irlande,janvier,2022,5,no,en,54.03497495,-7.2937022825583675,None,None,None,None,None
Une véritable équipe de Super-héros,"L’expérience client est juste incroyable. Nous sommes tous masqués, mais les sourires transparaissent dans le regard de toutes et tous! DES ETOILES DANS LES YEUX!!!! Il y a toujours une personne qui s’enquiert de votre confort. La gentillesse semble être la première verrue requise pour intégrer cette adresse magique !",janvier,2022,Lyon, France,janvier,2022,5,no,fr,45.7578137,4.8320114,France,Europe,45.7578371,4.8321925,Lyon
SAV,Bonjour  Nous avons une réservation prévue en mars et souhaiterions y apporter une modification.. Malheureusement il est juste IMPOSSIBLE  d atteindre quelqu'un que ce soit par téléphone ou par e-mail...,janvier,2022,None, None,janvier,2022,3,no,fr,44.933143,7.540121,None,None,None,None,None
"Bel hôtel, bien situé","L'hôtel est neuf et les chambres sont modernes. À quelques pas des parcs Disney et avec des options de restauration dans l'hôtel lui-même ou à proximité. J'ai trouvé le service en dessous de ce qui était attendu par le groupe Disney. Beaucoup de files d'attente et manque d'informations. Quand nous sommes arrivés à la gare, nous avons beaucoup marché car ils ne m'ont pas renseigné sur les transports par exemple. La zone de coloriage de Marcel est petite et je n'ai pas trouvé de jouets à l'extérieur.",janvier,2022,Belo Hor,None,octobre,2021,4,no,pt,None,None,None,None,None,None,None
Une équipe de Super-héros,"L’expérience Disney /Marvel ? Elle ne résume pas à la qualité de la literie, de la gastronomie, des cocktails ou encore des décors . Cette expérience se résume aux sourires et attentions de: Jessy, Roméo, Cédric, Angelo, Joua… et l’ensemble des équipes ! Bravo, vous êtes tous des Super-héros !!!!!",janvier,2022,Hermance, Suisse,janvier,2022,5,yes,fr,46.3021881,6.2437346,None,None,None,None,None
Superbe!,"Superbe rénovation pour cet hôtel Disney!  L'hôtel est très classe, bien thématisé, tout est bien pensé, élégant, plein de petits détails appréciables, on s'y sent bien et le parfum d'ambiance est divin.  La literie est très confortable, les chambres sont bien équipées (machine à café, bouilloire, mini frigo), et très propres.  A tout cela, on ajoute la proximité des parcs, du Disney Village et l'amabilité du personnel, que demander de plus?  C'était parfait, on reviendra sans hésiter!!!",janvier,2022,Gleizé, France,janvier,2022,5,no,fr,45.9888277,4.6971455,None,None,None,None,None
Top pour une nuit ou deux,"Super hôtel, déco très cool, chambres spacieuses et toilettes du lobby nickel. Le service est parfait. En allant tôt au petit déjeuner, vous aurez un service impeccable, le buffet est bon. Il y a du choix. Boutique assez sympa avec des produits marvel. Pas eu le temps d’essayer la piscine mais à faire la prochaine fois.",janvier,2022,Marly-le-Roi, France,janvier,2022,5,yes,fr,48.8681762,2.0965935,None,None,None,None,None
Excellent hôtel Disney !,"L hôtel Marvel Art of New York est incontestablement un très bel hôtel Disney. C est un véritable 4 étoiles, l accueil est excellent et tout est fait pour que votre séjour soit parfait. Les chambres sont spacieuses et très propres. Notre vue était magique. La literie est confortable,  la salle de bains incroyable. Il est vrai que le petit déjeuner est cher mais le service est très agréable et il y a du choix . Le personnel est très sympathique,  bref je recommande vivement cet hôtel qui est très près du parc.",janvier,2022,Bayonne, France,janvier,2022,5,yes,fr,43.4945144,-1.4736657,None,None,None,None,None
Un hôtel très spécial TOP,"L'hôtel est absolument incroyable, il ne laisse rien à désirer et nous sommes incroyablement heureux d'y avoir été, c'est vraiment incroyable.!!! Le seul bémol... Se faire livrer des boissons et de la nourriture dans la chambre avec un service de chambre coûte incroyablement cher.",janvier,2022,None, None,janvier,2022,5,no,de,44.933143,7.540121,None,None,None,None,None
Fantastique,"Délicieux petit déjeuner, chambre fantastique avec terrasse et télévision avec Disney +, boîtes à musique dans la salle de bain et à proximité du parc. Le bar et la piscine sont également recommandés à visiter en raison de la belle décoration. Dormir ici a rendu notre expérience Disney complète.",janvier,2022,Louvain, Belgique,juillet,2021,5,no,nl,50.879202,4.7011675,Belgique,Europe,50.879541450000005,4.701203383292389,Louvain
Enchanté,"La force de cet hôtel est l’emplacement pré du parc Disney. Les œuvres d’art Marvel sont incroyables. Après une journée au parc, nous avons diné au restaurant Manhattan.  Le restaurant et l’équipe très serviable ont été un point fort et une belle découverte. Professionnels et disponibles, ils ont été tout aussi enchanteurs que l’endroit. Nous avons souhaité essayer d’autres restaurants du soir, et sommes finalement revenus y diner pour notre dernier soir. Merci à toute l’équipe. Un hôtel propre et bien tenu, hautement recommandable. ",janvier,2022,Lille, France,janvier,2022,5,no,fr,50.6365654,3.0635282,France,Europe,50.636890550000004,3.0647468299596765,Lille
Visite d'anniversaire,Que puis-je dire qu'un hôtel aussi incroyable a séjourné ici le 12 décembre pour un week-end pour mon anniversaire. Les chambres sont si cool et si grandes que le thème des merveilles est incroyable. J'adore les cocktails du skylinebar où ils sont massifs. Le Manhattan Restraunt était super la nourriture était si bonne. Petits déjeuners incroyables aussi. J'ai hâte d'en finir avec les enfants. Le personnel est super et très serviable. L'enregistrement a été incroyable la chambre était prête à 11h a eu de la chance. Meilleur week-end de ma vie xxxx merci 5☆☆☆,janvier,2022,Ouest de l'Irlande, Irlande,décembre,2021,5,yes,en,None,None,None,None,None,None,None
Du Tape a l’œil!!!,"Grosse grosse déception!!! Nous avons réservé une chambre familiale pour 4 en demi-pension pendant 4j/3n vous imaginez le budget …  1 point négatif: on nous enregistre le premier jour, on nous met un beau bracelet de couleur sans nous préciser de quoi il s’agit  et on ne nous préviens pas que tous les jours il faut changer ce fameux bracelet qui est en fait le Pass sanitaire … résultat nous nous faisons refouler a 8h20 du matin le lendemain au point contrôle comme des mal propres … ça commence bien!!!   2 point négatif: nous effectuons un changement d’heure pour le repas du soir … histoire de voir la parade nous nous présentons donc à 19h45 au resto et là pas de réservation 😳 finalement on nous trouve une table pour 21h super les deux enfants 6 et 10 ans qui meurent de faim!!!…",janvier,2022,Namur, Belgique,janvier,2022,2,no,fr,50.4665284,4.8661892,Belgique,Europe,50.46663255,4.866217159209969,Namur
"Excellent séjour, ambiance magnifique !","Nuit du 21 au 22 décembre 2021. Cadre splendide, chambre très bien. Là dessus franchement rien à dire. Un regret sur le petit déjeuner, pour le prix il devrait être compris ça me semble une évidence. Sinon j'aurai trouvé ça sympa pour les enfants qu'un personnage (spiderman, ironman, thor etc...) passe pendant les repas, que ce soit petit déjeuner ou diner au Manhattan ou Downtown.",janvier,2022,Offranville, France,décembre,2021,4,no,fr,49.8703506,1.0502415,None,None,None,None,None
un bon dîner!,"Nous sommes allés au centre-ville pour le dîner et ce que nous avons le plus aimé, c'est la cuisine chinoise. Le personnel était très gentil puisque nous avions une réservation à 22h et quand nous sommes arrivés beaucoup plus tôt ils ne l'ont pas changé sans problème. Vous devez réserver à l'avance. L'hôtel, la réception, est très joli et cool. Ça ne fait pas de mal d'aller le voir.",janvier,2022,Majorque, Espagne,décembre,2021,5,no,es,39.613432,2.8829026938823548,None,None,None,None,None
Noel en famille,Super hôtel l acceuil parfait les chambres terribles le personnel super gentil toujours prêt à vous aider que dire de plus je recommande fortement merci à toute l équipe qui nous a reçu petit conseil ne prenez pas le forfait pension complète impossible de réservé les restaurants,janvier,2022,Fecamp, France,décembre,2021,5,yes,fr,49.7577729,0.374891,None,None,None,None,None
